image_id,class_name,x1,y1,x2,y2,source,review_status,notes
45min_after_washout_frame_003,single_cell,10.60,207.40,57.60,251.40,manual_review_app,reviewed,
45min_after_washout_frame_003,single_cell,92.60,110.40,120.60,143.40,manual_review_app,reviewed,
45min_after_washout_frame_003,single_cell,132.60,130.40,166.60,165.40,manual_review_app,reviewed,
45min_after_washout_frame_003,early_bud_pair,77.60,73.40,122.60,133.40,manual_review_app,reviewed,
45min_after_washout_frame_003,early_bud_pair,144.60,57.40,187.60,105.40,manual_review_app,reviewed,
45min_after_washout_frame_003,early_bud_pair,81.60,170.40,118.60,217.40,manual_review_app,reviewed,
45min_after_washout_frame_003,early_bud_pair,104.60,153.40,135.60,206.40,manual_review_app,reviewed,
45min_after_washout_frame_003,early_bud_pair,125.60,156.40,195.60,199.40,manual_review_app,reviewed,
45min_after_washout_frame_003,single_cell,111.60,38.40,151.60,69.40,manual_review_app,reviewed,
45min_after_washout_frame_003,early_bud_pair,132.60,19.40,168.60,48.40,manual_review_app,reviewed,
45min_after_washout_frame_006,early_bud_pair,62.60,40.40,101.60,77.40,manual_review_app,reviewed,
45min_after_washout_frame_006,early_bud_pair,69.60,67.40,118.60,128.40,manual_review_app,reviewed,
45min_after_washout_frame_006,early_bud_pair,105.60,81.40,159.60,163.40,manual_review_app,reviewed,
45min_after_washout_frame_006,early_bud_pair,123.60,50.40,162.60,89.40,manual_review_app,reviewed,
45min_after_washout_frame_006,single_cell,167.60,132.40,203.60,180.40,manual_review_app,reviewed,
45min_after_washout_frame_006,single_cell,146.60,109.40,181.60,156.40,manual_review_app,reviewed,
45min_after_washout_frame_006,early_bud_pair,197.60,93.40,254.60,165.40,manual_review_app,reviewed,
45min_after_washout_frame_006,single_cell,94.60,39.40,131.60,74.40,manual_review_app,reviewed,
45min_after_washout_frame_010,early_bud_pair,157.60,36.40,217.60,90.40,manual_review_app,reviewed,
45min_after_washout_frame_010,early_bud_pair,51.60,0.40,104.60,63.40,manual_review_app,reviewed,
45min_after_washout_frame_010,early_bud_pair,113.60,104.40,152.60,166.40,manual_review_app,reviewed,
45min_after_washout_frame_010,early_bud_pair,140.60,142.40,191.60,193.40,manual_review_app,reviewed,
45min_after_washout_frame_010,single_cell,146.60,112.40,176.60,146.40,manual_review_app,reviewed,
45min_after_washout_frame_010,single_cell,164.60,122.40,199.60,161.40,manual_review_app,reviewed,
45min_after_washout_frame_004,single_cell,140.60,51.40,185.60,85.40,manual_review_app,reviewed,
45min_after_washout_frame_004,single_cell,144.60,114.40,187.60,146.40,manual_review_app,reviewed,
45min_after_washout_frame_004,early_bud_pair,65.60,80.40,118.60,144.40,manual_review_app,reviewed,
45min_after_washout_frame_004,early_bud_pair,116.60,88.40,155.60,156.40,manual_review_app,reviewed,
45min_after_washout_frame_004,early_bud_pair,158.60,63.40,220.60,111.40,manual_review_app,reviewed,
60min_after_washout_frame_014,mother_bud_pair,1.60,25.40,66.60,68.40,manual_review_app,reviewed,
60min_after_washout_frame_014,mother_bud_pair,94.60,114.40,166.60,165.40,manual_review_app,reviewed,
60min_after_washout_frame_014,mother_bud_pair,96.60,54.40,158.60,113.40,manual_review_app,reviewed,
60min_after_washout_frame_014,mother_bud_pair,50.60,50.40,106.60,115.40,manual_review_app,reviewed,
60min_after_washout_frame_014,mother_bud_pair,14.60,75.40,71.60,129.40,manual_review_app,reviewed,
60min_after_washout_frame_014,mother_bud_pair,156.60,52.40,192.60,121.40,manual_review_app,reviewed,
60min_after_washout_frame_014,single_cell,3.60,58.40,37.60,91.40,manual_review_app,reviewed,
