image_id,comparison_type,rule_id,manual_id,rule_class,manual_class,iou,rule_box,manual_box,rule_area_px2,manual_area_px2,area_ratio_rule_over_manual,notes
45min_after_washout_frame_015,same_class_box_match,rule_13,manual_2,early_bud_pair,early_bud_pair,0.8118,"9.00,154.00,60.00,194.00","13.00,157.00,59.00,193.00",2040.00,1656.00,1.2319,
45min_after_washout_frame_015,same_class_box_match,rule_12,manual_25,early_bud_pair,early_bud_pair,0.6488,"165.00,116.00,226.00,168.00","173.00,107.00,223.00,163.00",3172.00,2800.00,1.1329,
45min_after_washout_frame_015,class_mismatch_box_match,rule_10,manual_24,mother_bud_pair,early_bud_pair,0.5269,"61.00,133.00,127.00,203.00","55.00,125.00,128.00,177.00",4620.00,3796.00,1.2171,
45min_after_washout_frame_015,rule_only_or_bad_box,rule_9,,mother_bud_pair,,,"113.00,84.00,173.00,174.00",,5400.00,,,No manual box matched this rule box at IoU threshold.
45min_after_washout_frame_015,rule_only_or_bad_box,rule_11,,mother_bud_pair,,,"149.00,157.00,219.00,197.00",,2800.00,,,No manual box matched this rule box at IoU threshold.
45min_after_washout_frame_015,rule_only_or_bad_box,rule_14,,single_cell,,,"0.00,76.00,32.00,118.00",,1344.00,,,No manual box matched this rule box at IoU threshold.
45min_after_washout_frame_015,manual_only_missed_by_rule,,manual_3,,early_bud_pair,,,"67.00,173.00,120.00,204.00",,1643.00,,No rule box matched this manual box at IoU threshold.
45min_after_washout_frame_015,manual_only_missed_by_rule,,manual_4,,single_cell,,,"150.00,77.00,201.00,112.00",,1785.00,,No rule box matched this manual box at IoU threshold.
45min_after_washout_frame_015,manual_only_missed_by_rule,,manual_5,,early_bud_pair,,,"180.00,164.00,219.00,192.00",,1092.00,,No rule box matched this manual box at IoU threshold.
45min_after_washout_frame_015,manual_only_missed_by_rule,,manual_6,,early_bud_pair,,,"155.00,168.00,195.00,204.00",,1440.00,,No rule box matched this manual box at IoU threshold.
45min_after_washout_frame_015,manual_only_missed_by_rule,,manual_7,,early_bud_pair,,,"148.00,123.00,170.00,175.00",,1144.00,,No rule box matched this manual box at IoU threshold.
45min_after_washout_frame_015,manual_only_missed_by_rule,,manual_26,,early_bud_pair,,,"113.00,80.00,155.00,146.00",,2772.00,,No rule box matched this manual box at IoU threshold.
45min_after_washout_frame_019,same_class_box_match,rule_19,manual_9,early_bud_pair,early_bud_pair,0.8684,"74.00,136.00,114.00,200.00","72.00,133.00,116.00,200.00",2560.00,2948.00,0.8684,
45min_after_washout_frame_019,same_class_box_match,rule_17,manual_12,mother_bud_pair,mother_bud_pair,0.7260,"96.00,24.00,163.00,93.00","97.00,22.00,149.00,90.00",4623.00,3536.00,1.3074,
45min_after_washout_frame_019,class_mismatch_box_match,rule_16,manual_22,mother_bud_pair,early_bud_pair,0.5075,"20.00,156.00,86.00,215.00","14.00,152.00,77.00,195.00",3894.00,2709.00,1.4374,
45min_after_washout_frame_019,rule_only_or_bad_box,rule_15,,mother_bud_pair,,,"100.00,57.00,178.00,136.00",,6162.00,,,No manual box matched this rule box at IoU threshold.
45min_after_washout_frame_019,rule_only_or_bad_box,rule_18,,mother_bud_pair,,,"98.00,203.00,167.00,255.00",,3588.00,,,No manual box matched this rule box at IoU threshold.
45min_after_washout_frame_019,manual_only_missed_by_rule,,manual_8,,single_cell,,,"47.00,186.00,94.00,209.00",,1081.00,,No rule box matched this manual box at IoU threshold.
45min_after_washout_frame_019,manual_only_missed_by_rule,,manual_10,,early_bud_pair,,,"134.00,53.00,162.00,100.00",,1316.00,,No rule box matched this manual box at IoU threshold.
45min_after_washout_frame_019,manual_only_missed_by_rule,,manual_11,,mother_bud_pair,,,"92.00,94.00,182.00,140.00",,4140.00,,No rule box matched this manual box at IoU threshold.
45min_after_washout_frame_019,manual_only_missed_by_rule,,manual_13,,early_bud_pair,,,"99.00,210.00,138.00,246.00",,1404.00,,No rule box matched this manual box at IoU threshold.
45min_after_washout_frame_019,manual_only_missed_by_rule,,manual_23,,early_bud_pair,,,"129.00,196.00,167.00,252.00",,2128.00,,No rule box matched this manual box at IoU threshold.
45min_after_washout_frame_005,class_mismatch_box_match,rule_8,manual_14,early_bud_pair,mother_bud_pair,0.8348,"12.00,24.00,89.00,70.00","6.00,22.00,89.00,67.00",3542.00,3735.00,0.9483,
45min_after_washout_frame_005,same_class_box_match,rule_7,manual_21,early_bud_pair,early_bud_pair,0.6968,"128.00,133.00,169.00,189.00","136.00,133.00,174.00,191.00",2296.00,2204.00,1.0417,
45min_after_washout_frame_005,rule_only_or_bad_box,rule_4,,mother_bud_pair,,,"105.00,63.00,162.00,111.00",,2736.00,,,No manual box matched this rule box at IoU threshold.
45min_after_washout_frame_005,rule_only_or_bad_box,rule_5,,mother_bud_pair,,,"89.00,107.00,164.00,162.00",,4125.00,,,No manual box matched this rule box at IoU threshold.
45min_after_washout_frame_005,rule_only_or_bad_box,rule_6,,mother_bud_pair,,,"135.00,27.00,183.00,90.00",,3024.00,,,No manual box matched this rule box at IoU threshold.
45min_after_washout_frame_005,manual_only_missed_by_rule,,manual_15,,single_cell,,,"86.00,116.00,124.00,154.00",,1444.00,,No rule box matched this manual box at IoU threshold.
45min_after_washout_frame_005,manual_only_missed_by_rule,,manual_16,,single_cell,,,"97.00,51.00,135.00,89.00",,1444.00,,No rule box matched this manual box at IoU threshold.
45min_after_washout_frame_005,manual_only_missed_by_rule,,manual_17,,single_cell,,,"121.00,79.00,159.00,110.00",,1178.00,,No rule box matched this manual box at IoU threshold.
45min_after_washout_frame_005,manual_only_missed_by_rule,,manual_18,,early_bud_pair,,,"134.00,58.00,183.00,88.00",,1470.00,,No rule box matched this manual box at IoU threshold.
45min_after_washout_frame_005,manual_only_missed_by_rule,,manual_19,,early_bud_pair,,,"118.00,104.00,151.00,153.00",,1617.00,,No rule box matched this manual box at IoU threshold.
45min_after_washout_frame_005,manual_only_missed_by_rule,,manual_20,,early_bud_pair,,,"137.00,3.00,182.00,67.00",,2880.00,,No rule box matched this manual box at IoU threshold.
45min_after_washout_frame_000,class_mismatch_box_match,rule_3,manual_30,early_bud_pair,single_cell,0.7826,"0.00,185.00,41.00,221.00","1.00,184.00,42.00,228.00",1476.00,1804.00,0.8182,
45min_after_washout_frame_000,same_class_box_match,rule_2,manual_29,early_bud_pair,early_bud_pair,0.6316,"95.00,90.00,145.00,154.00","81.00,99.00,145.00,160.00",3200.00,3904.00,0.8197,
45min_after_washout_frame_000,rule_only_or_bad_box,rule_1,,mother_bud_pair,,,"107.00,59.00,160.00,116.00",,3021.00,,,No manual box matched this rule box at IoU threshold.
45min_after_washout_frame_000,manual_only_missed_by_rule,,manual_27,,single_cell,,,"107.00,85.00,155.00,120.00",,1680.00,,No rule box matched this manual box at IoU threshold.
45min_after_washout_frame_000,manual_only_missed_by_rule,,manual_28,,early_bud_pair,,,"103.00,45.00,184.00,89.00",,3564.00,,No rule box matched this manual box at IoU threshold.
60min_after_washout_frame_007,same_class_box_match,rule_34,manual_44,mother_bud_pair,mother_bud_pair,0.6110,"168.00,162.00,230.00,231.00","182.00,167.00,231.00,245.00",4278.00,3822.00,1.1193,
60min_after_washout_frame_007,class_mismatch_box_match,rule_33,manual_38,mother_bud_pair,early_bud_pair,0.5858,"62.00,30.00,125.00,82.00","60.00,32.00,104.00,79.00",3276.00,2068.00,1.5841,
60min_after_washout_frame_007,same_class_box_match,rule_35,manual_41,mother_bud_pair,mother_bud_pair,0.5105,"115.00,117.00,170.00,182.00","113.00,143.00,179.00,185.00",3575.00,2772.00,1.2897,
60min_after_washout_frame_007,rule_only_or_bad_box,rule_36,,mother_bud_pair,,,"33.00,74.00,93.00,135.00",,3660.00,,,No manual box matched this rule box at IoU threshold.
60min_after_washout_frame_007,rule_only_or_bad_box,rule_37,,mother_bud_pair,,,"40.00,98.00,121.00,151.00",,4293.00,,,No manual box matched this rule box at IoU threshold.
60min_after_washout_frame_007,rule_only_or_bad_box,rule_38,,mother_bud_pair,,,"145.00,139.00,209.00,198.00",,3776.00,,,No manual box matched this rule box at IoU threshold.
60min_after_washout_frame_007,rule_only_or_bad_box,rule_39,,mother_bud_pair,,,"2.00,92.00,66.00,161.00",,4416.00,,,No manual box matched this rule box at IoU threshold.
60min_after_washout_frame_007,rule_only_or_bad_box,rule_40,,mother_bud_pair,,,"153.00,107.00,218.00,165.00",,3770.00,,,No manual box matched this rule box at IoU threshold.
