label_id,image_id,class_name,x1,y1,x2,y2,source,review_status,notes
1,45min_after_washout_frame_015,early_bud_pair,13.00,157.00,59.00,193.00,manual_review_app,reviewed,
2,45min_after_washout_frame_015,mother_bud_pair,54.00,127.00,126.00,173.00,manual_review_app,reject,
3,45min_after_washout_frame_015,early_bud_pair,67.00,173.00,120.00,204.00,manual_review_app,reviewed,
4,45min_after_washout_frame_015,single_cell,150.00,77.00,201.00,112.00,manual_review_app,reviewed,
5,45min_after_washout_frame_015,early_bud_pair,180.00,164.00,219.00,192.00,manual_review_app,reviewed,
6,45min_after_washout_frame_015,early_bud_pair,155.00,168.00,195.00,204.00,manual_review_app,reviewed,
7,45min_after_washout_frame_015,early_bud_pair,148.00,123.00,170.00,175.00,manual_review_app,reviewed,
8,45min_after_washout_frame_015,mother_bud_pair,169.00,123.00,227.00,159.00,manual_review_app,reject,
9,45min_after_washout_frame_015,mother_bud_pair,110.00,76.00,154.00,148.00,manual_review_app,reject,
10,45min_after_washout_frame_019,single_cell,47.00,186.00,94.00,209.00,manual_review_app,reviewed,
11,45min_after_washout_frame_019,mother_bud_pair,4.00,159.00,79.00,198.00,manual_review_app,reject,
12,45min_after_washout_frame_019,mother_bud_pair,134.00,59.00,164.00,101.00,manual_review_app,reject,
13,45min_after_washout_frame_019,mother_bud_pair,73.00,133.00,118.00,199.00,manual_review_app,reject,
14,45min_after_washout_frame_019,early_bud_pair,72.00,133.00,116.00,200.00,manual_review_app,reviewed,
15,45min_after_washout_frame_019,early_bud_pair,134.00,53.00,162.00,100.00,manual_review_app,reviewed,
16,45min_after_washout_frame_019,mother_bud_pair,92.00,94.00,182.00,140.00,manual_review_app,reviewed,
17,45min_after_washout_frame_019,mother_bud_pair,147.00,16.00,180.00,32.00,manual_review_app,reject,
18,45min_after_washout_frame_019,mother_bud_pair,97.00,22.00,149.00,90.00,manual_review_app,reviewed,
19,45min_after_washout_frame_019,mother_bud_pair,136.00,196.00,174.00,249.00,manual_review_app,reject,
20,45min_after_washout_frame_019,early_bud_pair,99.00,210.00,138.00,246.00,manual_review_app,reviewed,
21,45min_after_washout_frame_005,mother_bud_pair,6.00,22.00,89.00,67.00,manual_review_app,reviewed,
22,45min_after_washout_frame_005,single_cell,86.00,116.00,124.00,154.00,manual_review_app,reviewed,
23,45min_after_washout_frame_005,single_cell,97.00,51.00,135.00,89.00,manual_review_app,reviewed,
24,45min_after_washout_frame_005,single_cell,121.00,79.00,159.00,110.00,manual_review_app,reviewed,
25,45min_after_washout_frame_005,early_bud_pair,134.00,58.00,183.00,88.00,manual_review_app,reviewed,
26,45min_after_washout_frame_005,early_bud_pair,118.00,104.00,151.00,153.00,manual_review_app,reviewed,
27,45min_after_washout_frame_005,early_bud_pair,137.00,3.00,182.00,67.00,manual_review_app,reviewed,
28,45min_after_washout_frame_005,early_bud_pair,136.00,133.00,174.00,191.00,manual_review_app,reviewed,
29,45min_after_washout_frame_019,early_bud_pair,14.00,152.00,77.00,195.00,manual_review_app,reviewed,
30,45min_after_washout_frame_019,early_bud_pair,129.00,196.00,167.00,252.00,manual_review_app,reviewed,
31,45min_after_washout_frame_015,early_bud_pair,55.00,125.00,128.00,177.00,manual_review_app,reviewed,
32,45min_after_washout_frame_015,early_bud_pair,173.00,107.00,223.00,163.00,manual_review_app,reviewed,
33,45min_after_washout_frame_015,early_bud_pair,113.00,80.00,155.00,146.00,manual_review_app,reviewed,
34,45min_after_washout_frame_000,single_cell,107.00,85.00,155.00,120.00,manual_review_app,reviewed,
35,45min_after_washout_frame_000,early_bud_pair,103.00,45.00,184.00,89.00,manual_review_app,reviewed,
36,45min_after_washout_frame_000,early_bud_pair,81.00,99.00,145.00,160.00,manual_review_app,reviewed,
37,45min_after_washout_frame_000,single_cell,1.00,184.00,42.00,228.00,manual_review_app,reviewed,
38,60min_after_washout_frame_007,early_bud_pair,176.00,172.00,205.00,212.00,manual_review_app,reviewed,
39,60min_after_washout_frame_007,mother_bud_pair,56.00,69.00,110.00,136.00,manual_review_app,reviewed,
