image_id,manual_count,rule_count,tp,fp,fn,precision,recall,f1,box_only_matches,missing_manual_review
45min_after_washout_frame_012,10,6,3,3,7,0.5,0.3,0.375,4,False
45min_after_washout_frame_013,7,5,2,3,5,0.4,0.2857,0.3333,3,False
45min_after_washout_frame_016,3,4,1,3,2,0.25,0.3333,0.2857,1,False
45min_after_washout_frame_008,6,4,2,2,4,0.5,0.3333,0.4,4,False
60min_after_washout_frame_004,10,8,1,7,9,0.125,0.1,0.1111,6,False
60min_after_washout_frame_003,7,7,2,5,5,0.2857,0.2857,0.2857,4,False
60min_after_washout_frame_012,7,5,2,3,5,0.4,0.2857,0.3333,3,False
60min_after_washout_frame_000,6,4,1,3,5,0.25,0.1667,0.2,3,False
85min_after_washout_frame_005,4,8,1,7,3,0.125,0.25,0.1667,1,False
85min_after_washout_frame_022,7,6,1,5,6,0.1667,0.1429,0.1539,2,False
85min_after_washout_frame_015,6,6,4,2,2,0.6667,0.6667,0.6667,4,False
85min_after_washout_frame_013,8,5,1,4,7,0.2,0.125,0.1538,3,False
Colorado+htb2-GFP_frame_016,13,12,3,9,10,0.25,0.2308,0.24,5,False
Colorado+htb2-GFP_frame_012,15,10,3,7,12,0.3,0.2,0.24,5,False
Colorado+htb2-GFP_frame_001,15,10,5,5,10,0.5,0.3333,0.4,10,False
Colorado+htb2-GFP_frame_006,10,7,3,4,7,0.4286,0.3,0.353,4,False
_ess_dense_frame_000,6,8,5,3,1,0.625,0.8333,0.7143,6,False
_ess_dense_frame_017,6,6,2,4,4,0.3333,0.3333,0.3333,5,False
_ess_dense_frame_009,7,6,0,6,7,0.0,0.0,,2,False
_ess_dense_frame_004,7,5,3,2,4,0.6,0.4286,0.5,5,False
alphafactor_arrest_frame_023,11,7,2,5,9,0.2857,0.1818,0.2222,4,False
alphafactor_arrest_frame_016,7,6,0,6,7,0.0,0.0,,5,False
alphafactor_arrest_frame_013,8,5,0,5,8,0.0,0.0,,2,False
alphafactor_arrest_frame_020,8,4,0,4,8,0.0,0.0,,2,False
alphafactor_arrest_frame_006,6,4,0,4,6,0.0,0.0,,1,False
alphafactor_arrest_frame_001,11,2,0,2,11,0.0,0.0,,1,False
training_1_frame_030,5,6,3,3,2,0.5,0.6,0.5455,5,False
training_1_frame_025,7,6,2,4,5,0.3333,0.2857,0.3077,4,False
training_1_frame_057,5,5,0,5,5,0.0,0.0,,0,False
training_1_frame_042,3,5,2,3,1,0.4,0.6667,0.5,2,False
training_1_frame_026,4,5,4,1,0,0.8,1.0,0.8889,4,False
training_1_frame_064,4,4,4,0,0,1.0,1.0,1.0,4,False
training_1_frame_050,2,4,1,3,1,0.25,0.5,0.3333,2,False
training_1_frame_037,5,4,1,3,4,0.25,0.2,0.2222,1,False
training_1_frame_018,6,4,1,3,5,0.25,0.1667,0.2,2,False
training_1_frame_006,5,4,2,2,3,0.5,0.4,0.4444,4,False
training_1_frame_058,3,3,3,0,0,1.0,1.0,1.0,3,False
training_1_frame_034,1,3,1,2,0,0.3333,1.0,0.5,1,False
training_1_frame_002,3,3,0,3,3,0.0,0.0,,3,False
training_2_frame_106,5,6,4,2,1,0.6667,0.8,0.7273,5,False
training_2_frame_085,6,6,4,2,2,0.6667,0.6667,0.6667,4,False
training_2_frame_110,4,5,0,5,4,0.0,0.0,,4,False
training_2_frame_057,5,5,1,4,4,0.2,0.2,0.2,2,False
training_2_frame_018,3,5,3,2,0,0.6,1.0,0.75,3,False
training_2_frame_108,3,4,1,3,2,0.25,0.3333,0.2857,2,False
training_2_frame_096,6,4,1,3,5,0.25,0.1667,0.2,4,False
training_2_frame_088,3,4,2,2,1,0.5,0.6667,0.5714,3,False
training_2_frame_075,3,4,1,3,2,0.25,0.3333,0.2857,3,False
training_2_frame_063,5,4,1,3,4,0.25,0.2,0.2222,2,False
training_2_frame_052,6,4,2,2,4,0.5,0.3333,0.4,4,False
training_2_frame_038,1,4,0,4,1,0.0,0.0,,0,False
training_2_frame_026,4,4,3,1,1,0.75,0.75,0.75,4,False
training_2_frame_005,5,4,0,4,5,0.0,0.0,,3,False
training_2_frame_114,4,3,0,3,4,0.0,0.0,,2,False
training_2_frame_094,4,3,2,1,2,0.6667,0.5,0.5714,3,False
training_2_frame_070,3,3,3,0,0,1.0,1.0,1.0,3,False
training_2_frame_053,5,3,1,2,4,0.3333,0.2,0.25,2,False
training_2_frame_042,1,3,0,3,1,0.0,0.0,,1,False
training_2_frame_030,4,3,1,2,3,0.3333,0.25,0.2857,1,False
training_2_frame_016,3,3,1,2,2,0.3333,0.3333,0.3333,3,False
training_2_frame_007,5,3,0,3,5,0.0,0.0,,0,False
training_2_frame_036,0,2,0,2,0,0.0,,,0,True
