image_id,match_type,rule_id,manual_id,rule_class,manual_class,iou,rule_box,manual_box,rule_area_px2,manual_area_px2,area_ratio_rule_over_manual
45min_after_washout_frame_012,same_class_iou_match,rule_5,manual_7,mother_bud_pair,mother_bud_pair,0.6069,"59.00,29.00,134.00,87.00","72.00,30.00,135.00,73.00",4350.00,2709.00,1.6058
45min_after_washout_frame_012,same_class_iou_match,rule_10,manual_11,early_bud_pair,early_bud_pair,0.5552,"165.00,76.00,229.00,132.00","160.00,88.00,213.00,132.00",3584.00,2332.00,1.5369
45min_after_washout_frame_012,same_class_iou_match,rule_9,manual_10,early_bud_pair,early_bud_pair,0.5312,"72.00,56.00,134.00,104.00","69.00,67.00,123.00,99.00",2976.00,1728.00,1.7222
45min_after_washout_frame_013,same_class_iou_match,rule_13,manual_14,early_bud_pair,early_bud_pair,0.8904,"18.00,63.00,83.00,110.00","13.00,63.00,86.00,110.00",3055.00,3431.00,0.8904
45min_after_washout_frame_013,same_class_iou_match,rule_14,manual_15,early_bud_pair,early_bud_pair,0.7780,"142.00,103.00,196.00,159.00","147.00,104.00,204.00,159.00",3024.00,3135.00,0.9646
45min_after_washout_frame_016,same_class_iou_match,rule_18,manual_21,early_bud_pair,early_bud_pair,0.7933,"120.00,48.00,189.00,105.00","117.00,40.00,191.00,107.00",3933.00,4958.00,0.7933
45min_after_washout_frame_008,same_class_iou_match,rule_3,manual_23,early_bud_pair,early_bud_pair,0.8401,"83.00,78.00,159.00,127.00","82.00,75.00,164.00,125.00",3724.00,4100.00,0.9083
45min_after_washout_frame_008,same_class_iou_match,rule_4,manual_22,early_bud_pair,early_bud_pair,0.8332,"85.00,29.00,132.00,89.00","86.00,26.00,136.00,87.00",2820.00,3050.00,0.9246
60min_after_washout_frame_004,same_class_iou_match,rule_36,manual_33,early_bud_pair,early_bud_pair,0.7763,"0.00,97.00,73.00,151.00","1.00,105.00,69.00,150.00",3942.00,3060.00,1.2882
60min_after_washout_frame_003,same_class_iou_match,rule_24,manual_40,mother_bud_pair,mother_bud_pair,0.7724,"88.00,64.00,162.00,106.00","82.00,67.00,163.00,102.00",3108.00,2835.00,1.0963
