image_id,image_path,width,height,split,annotation_status,notes
45min_after_washout_frame_000,result_pic\from_source_tifs\RGB\45min after washout_frame_000.png,256,256,train,unreviewed,source_tifs=45min after washout GFP_center.tif;45min after washout_mCherry_center.tif;45min after washout Trans_center.tif
45min_after_washout_frame_001,result_pic\from_source_tifs\RGB\45min after washout_frame_001.png,256,256,train,unreviewed,source_tifs=45min after washout GFP_center.tif;45min after washout_mCherry_center.tif;45min after washout Trans_center.tif
45min_after_washout_frame_002,result_pic\from_source_tifs\RGB\45min after washout_frame_002.png,256,256,test,unreviewed,source_tifs=45min after washout GFP_center.tif;45min after washout_mCherry_center.tif;45min after washout Trans_center.tif
45min_after_washout_frame_003,result_pic\from_source_tifs\RGB\45min after washout_frame_003.png,256,256,val,unreviewed,source_tifs=45min after washout GFP_center.tif;45min after washout_mCherry_center.tif;45min after washout Trans_center.tif
45min_after_washout_frame_004,result_pic\from_source_tifs\RGB\45min after washout_frame_004.png,256,256,val,unreviewed,source_tifs=45min after washout GFP_center.tif;45min after washout_mCherry_center.tif;45min after washout Trans_center.tif
45min_after_washout_frame_005,result_pic\from_source_tifs\RGB\45min after washout_frame_005.png,256,256,train,unreviewed,source_tifs=45min after washout GFP_center.tif;45min after washout_mCherry_center.tif;45min after washout Trans_center.tif
45min_after_washout_frame_006,result_pic\from_source_tifs\RGB\45min after washout_frame_006.png,256,256,val,unreviewed,source_tifs=45min after washout GFP_center.tif;45min after washout_mCherry_center.tif;45min after washout Trans_center.tif
45min_after_washout_frame_007,result_pic\from_source_tifs\RGB\45min after washout_frame_007.png,256,256,test,unreviewed,source_tifs=45min after washout GFP_center.tif;45min after washout_mCherry_center.tif;45min after washout Trans_center.tif
45min_after_washout_frame_008,result_pic\from_source_tifs\RGB\45min after washout_frame_008.png,256,256,test,unreviewed,source_tifs=45min after washout GFP_center.tif;45min after washout_mCherry_center.tif;45min after washout Trans_center.tif
45min_after_washout_frame_009,result_pic\from_source_tifs\RGB\45min after washout_frame_009.png,256,256,train,unreviewed,source_tifs=45min after washout GFP_center.tif;45min after washout_mCherry_center.tif;45min after washout Trans_center.tif
45min_after_washout_frame_010,result_pic\from_source_tifs\RGB\45min after washout_frame_010.png,256,256,test,unreviewed,source_tifs=45min after washout GFP_center.tif;45min after washout_mCherry_center.tif;45min after washout Trans_center.tif
45min_after_washout_frame_011,result_pic\from_source_tifs\RGB\45min after washout_frame_011.png,256,256,train,unreviewed,source_tifs=45min after washout GFP_center.tif;45min after washout_mCherry_center.tif;45min after washout Trans_center.tif
45min_after_washout_frame_012,result_pic\from_source_tifs\RGB\45min after washout_frame_012.png,256,256,train,unreviewed,source_tifs=45min after washout GFP_center.tif;45min after washout_mCherry_center.tif;45min after washout Trans_center.tif
45min_after_washout_frame_013,result_pic\from_source_tifs\RGB\45min after washout_frame_013.png,256,256,val,unreviewed,source_tifs=45min after washout GFP_center.tif;45min after washout_mCherry_center.tif;45min after washout Trans_center.tif
45min_after_washout_frame_014,result_pic\from_source_tifs\RGB\45min after washout_frame_014.png,256,256,train,unreviewed,source_tifs=45min after washout GFP_center.tif;45min after washout_mCherry_center.tif;45min after washout Trans_center.tif
45min_after_washout_frame_015,result_pic\from_source_tifs\RGB\45min after washout_frame_015.png,256,256,train,unreviewed,source_tifs=45min after washout GFP_center.tif;45min after washout_mCherry_center.tif;45min after washout Trans_center.tif
