image_id,class_name,x1,y1,x2,y2,source,review_status,notes
45min_after_washout_frame_000,mother_bud_pair,107.0,59.0,160.0,116.0,v6_mask_aware_pseudo_label,needs_review,two_nuclei_near_budneck; budneck_idx=3; mask_source=v6_ml_detection\sam_masks\prompted_mobile_sam_from_source_tifs\instances\45min after washout_frame_000.png; box_source=mask_union;seeds=n0+n1+b3
45min_after_washout_frame_000,early_bud_pair,95.0,90.0,145.0,154.0,v6_mask_aware_pseudo_label,needs_review,one_nucleus_near_budneck; budneck_idx=7; mask_source=v6_ml_detection\sam_masks\prompted_mobile_sam_from_source_tifs\instances\45min after washout_frame_000.png; box_source=mask_union;seeds=n2+b7
45min_after_washout_frame_000,early_bud_pair,0.0,185.0,41.0,221.0,v6_mask_aware_pseudo_label,needs_review,one_nucleus_near_budneck; budneck_idx=8; mask_source=v6_ml_detection\sam_masks\prompted_mobile_sam_from_source_tifs\instances\45min after washout_frame_000.png; box_source=mask_union;seeds=n3+b8
45min_after_washout_frame_001,mother_bud_pair,206.0,200.0,255.0,255.0,v6_mask_aware_pseudo_label,needs_review,two_nuclei_near_budneck; budneck_idx=7; mask_source=v6_ml_detection\sam_masks\prompted_mobile_sam_from_source_tifs\instances\45min after washout_frame_001.png; box_source=mask_union;seeds=n7+n6+b7
45min_after_washout_frame_001,mother_bud_pair,197.0,8.0,255.0,65.0,v6_mask_aware_pseudo_label,needs_review,two_nuclei_near_budneck; budneck_idx=0; mask_source=v6_ml_detection\sam_masks\prompted_mobile_sam_from_source_tifs\instances\45min after washout_frame_001.png; box_source=mask_union;seeds=n1+n0+b0
45min_after_washout_frame_001,early_bud_pair,130.0,69.0,190.0,117.0,v6_mask_aware_pseudo_label,needs_review,one_nucleus_near_budneck; budneck_idx=3; mask_source=v6_ml_detection\sam_masks\prompted_mobile_sam_from_source_tifs\instances\45min after washout_frame_001.png; box_source=mask_union;seeds=n2+b3
45min_after_washout_frame_001,early_bud_pair,44.0,114.0,97.0,193.0,v6_mask_aware_pseudo_label,needs_review,one_nucleus_near_budneck; budneck_idx=6; mask_source=v6_ml_detection\sam_masks\prompted_mobile_sam_from_source_tifs\instances\45min after washout_frame_001.png; box_source=mask_union;seeds=n5+b6
45min_after_washout_frame_001,early_bud_pair,18.0,75.0,68.0,134.0,v6_mask_aware_pseudo_label,needs_review,one_nucleus_near_budneck; budneck_idx=2; mask_source=v6_ml_detection\sam_masks\prompted_mobile_sam_from_source_tifs\instances\45min after washout_frame_001.png; box_source=mask_union;seeds=n4+b2
45min_after_washout_frame_001,early_bud_pair,70.0,72.0,139.0,126.0,v6_mask_aware_pseudo_label,needs_review,one_nucleus_near_budneck; budneck_idx=4; mask_source=v6_ml_detection\sam_masks\prompted_mobile_sam_from_source_tifs\instances\45min after washout_frame_001.png; box_source=mask_union;seeds=n3+b4
45min_after_washout_frame_002,mother_bud_pair,71.0,18.0,135.0,82.0,v6_mask_aware_pseudo_label,needs_review,two_nuclei_near_budneck; budneck_idx=0; mask_source=v6_ml_detection\sam_masks\prompted_mobile_sam_from_source_tifs\instances\45min after washout_frame_002.png; box_source=mask_union;seeds=n1+n0+b0
45min_after_washout_frame_002,mother_bud_pair,105.0,63.0,165.0,121.0,v6_mask_aware_pseudo_label,needs_review,two_nuclei_near_budneck; budneck_idx=4; mask_source=v6_ml_detection\sam_masks\prompted_mobile_sam_from_source_tifs\instances\45min after washout_frame_002.png; box_source=mask_union;seeds=n2+n3+b4
45min_after_washout_frame_002,early_bud_pair,128.0,112.0,174.0,165.0,v6_mask_aware_pseudo_label,needs_review,one_nucleus_near_budneck; budneck_idx=8; mask_source=v6_ml_detection\sam_masks\prompted_mobile_sam_from_source_tifs\instances\45min after washout_frame_002.png; box_source=mask_union;seeds=n4+b8
45min_after_washout_frame_003,mother_bud_pair,153.0,0.0,240.0,34.0,v6_mask_aware_pseudo_label,needs_review,two_nuclei_near_budneck; budneck_idx=1; mask_source=v6_ml_detection\sam_masks\prompted_mobile_sam_from_source_tifs\instances\45min after washout_frame_003.png; box_source=mask_union;seeds=n0+n1+b1
45min_after_washout_frame_003,mother_bud_pair,91.0,93.0,176.0,152.0,v6_mask_aware_pseudo_label,needs_review,two_nuclei_near_budneck; budneck_idx=5; mask_source=v6_ml_detection\sam_masks\prompted_mobile_sam_from_source_tifs\instances\45min after washout_frame_003.png; box_source=mask_union;seeds=n6+n7+b5
45min_after_washout_frame_003,mother_bud_pair,82.0,157.0,143.0,209.0,v6_mask_aware_pseudo_label,needs_review,two_nuclei_near_budneck; budneck_idx=7; mask_source=v6_ml_detection\sam_masks\prompted_mobile_sam_from_source_tifs\instances\45min after washout_frame_003.png; box_source=mask_union;seeds=n8+n9+b7
45min_after_washout_frame_003,early_bud_pair,140.0,53.0,186.0,117.0,v6_mask_aware_pseudo_label,needs_review,one_nucleus_near_budneck; budneck_idx=3; mask_source=v6_ml_detection\sam_masks\prompted_mobile_sam_from_source_tifs\instances\45min after washout_frame_003.png; box_source=mask_union;seeds=n4+b3
45min_after_washout_frame_003,early_bud_pair,119.0,19.0,166.0,73.0,v6_mask_aware_pseudo_label,needs_review,one_nucleus_near_budneck; budneck_idx=2; mask_source=v6_ml_detection\sam_masks\prompted_mobile_sam_from_source_tifs\instances\45min after washout_frame_003.png; box_source=mask_union;seeds=n2+b2
45min_after_washout_frame_003,early_bud_pair,73.0,72.0,135.0,136.0,v6_mask_aware_pseudo_label,needs_review,one_nucleus_near_budneck; budneck_idx=4; mask_source=v6_ml_detection\sam_masks\prompted_mobile_sam_from_source_tifs\instances\45min after washout_frame_003.png; box_source=mask_union;seeds=n5+b4
