image_id,mask_source,raw_mask_count,seeded_mask_count,nucleus_count,budneck_count,mask_union_labels,fallback_dot_labels
45min_after_washout_frame_000,v6_ml_detection\sam_masks\prompted_mobile_sam_from_source_tifs\instances\45min after washout_frame_000.png,3,16,4,12,3,0
45min_after_washout_frame_001,v6_ml_detection\sam_masks\prompted_mobile_sam_from_source_tifs\instances\45min after washout_frame_001.png,6,16,8,8,6,0
45min_after_washout_frame_002,v6_ml_detection\sam_masks\prompted_mobile_sam_from_source_tifs\instances\45min after washout_frame_002.png,3,16,5,9,3,0
45min_after_washout_frame_003,v6_ml_detection\sam_masks\prompted_mobile_sam_from_source_tifs\instances\45min after washout_frame_003.png,7,21,10,10,7,0
45min_after_washout_frame_004,v6_ml_detection\sam_masks\prompted_mobile_sam_from_source_tifs\instances\45min after washout_frame_004.png,3,14,4,10,3,0
45min_after_washout_frame_005,v6_ml_detection\sam_masks\prompted_mobile_sam_from_source_tifs\instances\45min after washout_frame_005.png,5,21,8,9,5,0
45min_after_washout_frame_006,v6_ml_detection\sam_masks\prompted_mobile_sam_from_source_tifs\instances\45min after washout_frame_006.png,5,17,8,7,5,0
45min_after_washout_frame_007,v6_ml_detection\sam_masks\prompted_mobile_sam_from_source_tifs\instances\45min after washout_frame_007.png,5,16,8,9,5,0
45min_after_washout_frame_008,v6_ml_detection\sam_masks\prompted_mobile_sam_from_source_tifs\instances\45min after washout_frame_008.png,4,13,6,6,4,0
45min_after_washout_frame_009,v6_ml_detection\sam_masks\prompted_mobile_sam_from_source_tifs\instances\45min after washout_frame_009.png,4,16,7,8,4,0
45min_after_washout_frame_010,v6_ml_detection\sam_masks\prompted_mobile_sam_from_source_tifs\instances\45min after washout_frame_010.png,4,14,5,8,4,0
45min_after_washout_frame_011,v6_ml_detection\sam_masks\prompted_mobile_sam_from_source_tifs\instances\45min after washout_frame_011.png,4,12,6,7,3,0
45min_after_washout_frame_012,v6_ml_detection\sam_masks\prompted_mobile_sam_from_source_tifs\instances\45min after washout_frame_012.png,6,17,8,8,6,0
45min_after_washout_frame_013,v6_ml_detection\sam_masks\prompted_mobile_sam_from_source_tifs\instances\45min after washout_frame_013.png,5,22,7,15,5,0
45min_after_washout_frame_014,v6_ml_detection\sam_masks\prompted_mobile_sam_from_source_tifs\instances\45min after washout_frame_014.png,3,11,6,6,4,0
45min_after_washout_frame_015,v6_ml_detection\sam_masks\prompted_mobile_sam_from_source_tifs\instances\45min after washout_frame_015.png,6,16,9,8,6,0
45min_after_washout_frame_016,v6_ml_detection\sam_masks\prompted_mobile_sam_from_source_tifs\instances\45min after washout_frame_016.png,4,14,6,6,4,0
45min_after_washout_frame_017,v6_ml_detection\sam_masks\prompted_mobile_sam_from_source_tifs\instances\45min after washout_frame_017.png,6,21,9,9,6,0
45min_after_washout_frame_018,v6_ml_detection\sam_masks\prompted_mobile_sam_from_source_tifs\instances\45min after washout_frame_018.png,7,23,11,11,7,0
45min_after_washout_frame_019,v6_ml_detection\sam_masks\prompted_mobile_sam_from_source_tifs\instances\45min after washout_frame_019.png,5,15,9,6,5,0
60min_after_washout_frame_000,v6_ml_detection\sam_masks\prompted_mobile_sam_from_source_tifs\instances\60min after washout_frame_000.png,4,19,7,10,4,0
60min_after_washout_frame_001,v6_ml_detection\sam_masks\prompted_mobile_sam_from_source_tifs\instances\60min after washout_frame_001.png,6,29,13,13,7,0
60min_after_washout_frame_002,v6_ml_detection\sam_masks\prompted_mobile_sam_from_source_tifs\instances\60min after washout_frame_002.png,6,22,11,14,6,0
60min_after_washout_frame_003,v6_ml_detection\sam_masks\prompted_mobile_sam_from_source_tifs\instances\60min after washout_frame_003.png,7,20,11,10,7,0
60min_after_washout_frame_004,v6_ml_detection\sam_masks\prompted_mobile_sam_from_source_tifs\instances\60min after washout_frame_004.png,8,29,13,11,8,0
60min_after_washout_frame_005,v6_ml_detection\sam_masks\prompted_mobile_sam_from_source_tifs\instances\60min after washout_frame_005.png,5,16,8,10,5,0
60min_after_washout_frame_006,v6_ml_detection\sam_masks\prompted_mobile_sam_from_source_tifs\instances\60min after washout_frame_006.png,7,21,11,9,7,0
60min_after_washout_frame_007,v6_ml_detection\sam_masks\prompted_mobile_sam_from_source_tifs\instances\60min after washout_frame_007.png,9,34,16,11,8,0
60min_after_washout_frame_008,v6_ml_detection\sam_masks\prompted_mobile_sam_from_source_tifs\instances\60min after washout_frame_008.png,9,28,14,12,9,0
60min_after_washout_frame_009,v6_ml_detection\sam_masks\prompted_mobile_sam_from_source_tifs\instances\60min after washout_frame_009.png,6,21,10,8,6,0
60min_after_washout_frame_010,v6_ml_detection\sam_masks\prompted_mobile_sam_from_source_tifs\instances\60min after washout_frame_010.png,8,25,14,11,8,0
60min_after_washout_frame_011,v6_ml_detection\sam_masks\prompted_mobile_sam_from_source_tifs\instances\60min after washout_frame_011.png,7,26,12,13,7,0
60min_after_washout_frame_012,v6_ml_detection\sam_masks\prompted_mobile_sam_from_source_tifs\instances\60min after washout_frame_012.png,5,14,8,7,5,0
60min_after_washout_frame_013,v6_ml_detection\sam_masks\prompted_mobile_sam_from_source_tifs\instances\60min after washout_frame_013.png,6,22,10,7,6,0
60min_after_washout_frame_014,v6_ml_detection\sam_masks\prompted_mobile_sam_from_source_tifs\instances\60min after washout_frame_014.png,8,24,13,11,8,0
60min_after_washout_frame_015,v6_ml_detection\sam_masks\prompted_mobile_sam_from_source_tifs\instances\60min after washout_frame_015.png,7,25,12,10,7,0
85min_after_washout_frame_000,v6_ml_detection\sam_masks\prompted_mobile_sam_from_source_tifs\instances\85min after washout_frame_000.png,4,17,8,8,4,0
85min_after_washout_frame_001,v6_ml_detection\sam_masks\prompted_mobile_sam_from_source_tifs\instances\85min after washout_frame_001.png,4,12,7,5,4,0
85min_after_washout_frame_002,v6_ml_detection\sam_masks\prompted_mobile_sam_from_source_tifs\instances\85min after washout_frame_002.png,5,17,10,8,5,0
85min_after_washout_frame_003,v6_ml_detection\sam_masks\prompted_mobile_sam_from_source_tifs\instances\85min after washout_frame_003.png,8,28,14,10,8,0
85min_after_washout_frame_004,v6_ml_detection\sam_masks\prompted_mobile_sam_from_source_tifs\instances\85min after washout_frame_004.png,7,17,9,10,7,0
85min_after_washout_frame_005,v6_ml_detection\sam_masks\prompted_mobile_sam_from_source_tifs\instances\85min after washout_frame_005.png,8,25,14,9,8,0
85min_after_washout_frame_006,v6_ml_detection\sam_masks\prompted_mobile_sam_from_source_tifs\instances\85min after washout_frame_006.png,9,13,9,10,9,0
85min_after_washout_frame_007,v6_ml_detection\sam_masks\prompted_mobile_sam_from_source_tifs\instances\85min after washout_frame_007.png,6,17,9,7,6,0
85min_after_washout_frame_008,v6_ml_detection\sam_masks\prompted_mobile_sam_from_source_tifs\instances\85min after washout_frame_008.png,5,14,9,5,5,0
85min_after_washout_frame_009,v6_ml_detection\sam_masks\prompted_mobile_sam_from_source_tifs\instances\85min after washout_frame_009.png,7,18,11,7,7,0
85min_after_washout_frame_010,v6_ml_detection\sam_masks\prompted_mobile_sam_from_source_tifs\instances\85min after washout_frame_010.png,10,30,14,19,10,0
85min_after_washout_frame_011,v6_ml_detection\sam_masks\prompted_mobile_sam_from_source_tifs\instances\85min after washout_frame_011.png,8,26,12,8,8,0
85min_after_washout_frame_012,v6_ml_detection\sam_masks\prompted_mobile_sam_from_source_tifs\instances\85min after washout_frame_012.png,8,25,13,10,8,0
85min_after_washout_frame_013,v6_ml_detection\sam_masks\prompted_mobile_sam_from_source_tifs\instances\85min after washout_frame_013.png,5,18,9,6,5,0
85min_after_washout_frame_014,v6_ml_detection\sam_masks\prompted_mobile_sam_from_source_tifs\instances\85min after washout_frame_014.png,7,25,13,8,7,0
85min_after_washout_frame_015,v6_ml_detection\sam_masks\prompted_mobile_sam_from_source_tifs\instances\85min after washout_frame_015.png,6,16,10,5,6,0
85min_after_washout_frame_016,v6_ml_detection\sam_masks\prompted_mobile_sam_from_source_tifs\instances\85min after washout_frame_016.png,5,16,9,9,5,0
