"image_id","reference_name","reference_path","width","height","source_tif","frame_index"
"45min_after_washout_frame_000","Trans","result_pic\from_source_tifs\references\Trans\45min after washout_frame_000_Trans.png","256","256","20240724_image processing project\45min after washout Trans_center.tif","0"
"45min_after_washout_frame_000","GFP projected","result_pic\from_source_tifs\references\GFP_projected\45min after washout_frame_000_GFP_projected.png","256","256","20240724_image processing project\45min after washout GFP_center.tif","0"
"45min_after_washout_frame_000","mCherry projected","result_pic\from_source_tifs\references\mCherry_projected\45min after washout_frame_000_mCherry_projected.png","256","256","20240724_image processing project\45min after washout_mCherry_center.tif","0"
"45min_after_washout_frame_001","Trans","result_pic\from_source_tifs\references\Trans\45min after washout_frame_001_Trans.png","256","256","20240724_image processing project\45min after washout Trans_center.tif","1"
"45min_after_washout_frame_001","GFP projected","result_pic\from_source_tifs\references\GFP_projected\45min after washout_frame_001_GFP_projected.png","256","256","20240724_image processing project\45min after washout GFP_center.tif","1"
"45min_after_washout_frame_001","mCherry projected","result_pic\from_source_tifs\references\mCherry_projected\45min after washout_frame_001_mCherry_projected.png","256","256","20240724_image processing project\45min after washout_mCherry_center.tif","1"
"45min_after_washout_frame_002","Trans","result_pic\from_source_tifs\references\Trans\45min after washout_frame_002_Trans.png","256","256","20240724_image processing project\45min after washout Trans_center.tif","2"
"45min_after_washout_frame_002","GFP projected","result_pic\from_source_tifs\references\GFP_projected\45min after washout_frame_002_GFP_projected.png","256","256","20240724_image processing project\45min after washout GFP_center.tif","2"
"45min_after_washout_frame_002","mCherry projected","result_pic\from_source_tifs\references\mCherry_projected\45min after washout_frame_002_mCherry_projected.png","256","256","20240724_image processing project\45min after washout_mCherry_center.tif","2"
"45min_after_washout_frame_003","Trans","result_pic\from_source_tifs\references\Trans\45min after washout_frame_003_Trans.png","256","256","20240724_image processing project\45min after washout Trans_center.tif","3"
"45min_after_washout_frame_003","GFP projected","result_pic\from_source_tifs\references\GFP_projected\45min after washout_frame_003_GFP_projected.png","256","256","20240724_image processing project\45min after washout GFP_center.tif","3"
"45min_after_washout_frame_003","mCherry projected","result_pic\from_source_tifs\references\mCherry_projected\45min after washout_frame_003_mCherry_projected.png","256","256","20240724_image processing project\45min after washout_mCherry_center.tif","3"
"45min_after_washout_frame_004","Trans","result_pic\from_source_tifs\references\Trans\45min after washout_frame_004_Trans.png","256","256","20240724_image processing project\45min after washout Trans_center.tif","4"
"45min_after_washout_frame_004","GFP projected","result_pic\from_source_tifs\references\GFP_projected\45min after washout_frame_004_GFP_projected.png","256","256","20240724_image processing project\45min after washout GFP_center.tif","4"
"45min_after_washout_frame_004","mCherry projected","result_pic\from_source_tifs\references\mCherry_projected\45min after washout_frame_004_mCherry_projected.png","256","256","20240724_image processing project\45min after washout_mCherry_center.tif","4"
"45min_after_washout_frame_005","Trans","result_pic\from_source_tifs\references\Trans\45min after washout_frame_005_Trans.png","256","256","20240724_image processing project\45min after washout Trans_center.tif","5"
"45min_after_washout_frame_005","GFP projected","result_pic\from_source_tifs\references\GFP_projected\45min after washout_frame_005_GFP_projected.png","256","256","20240724_image processing project\45min after washout GFP_center.tif","5"
"45min_after_washout_frame_005","mCherry projected","result_pic\from_source_tifs\references\mCherry_projected\45min after washout_frame_005_mCherry_projected.png","256","256","20240724_image processing project\45min after washout_mCherry_center.tif","5"
"45min_after_washout_frame_006","Trans","result_pic\from_source_tifs\references\Trans\45min after washout_frame_006_Trans.png","256","256","20240724_image processing project\45min after washout Trans_center.tif","6"
