image_id,reference_name,reference_path,width,height,source_tif,frame_index
_ess_dense_frame_000,GFP projected,v6_ml_detection\references\tif_frames\ess_dense_GFP_projected_frame_000.png,256,256,_ess dense_GFP_projected.tif,0
_ess_dense_frame_001,GFP projected,v6_ml_detection\references\tif_frames\ess_dense_GFP_projected_frame_001.png,256,256,_ess dense_GFP_projected.tif,1
_ess_dense_frame_002,GFP projected,v6_ml_detection\references\tif_frames\ess_dense_GFP_projected_frame_002.png,256,256,_ess dense_GFP_projected.tif,2
_ess_dense_frame_003,GFP projected,v6_ml_detection\references\tif_frames\ess_dense_GFP_projected_frame_003.png,256,256,_ess dense_GFP_projected.tif,3
_ess_dense_frame_004,GFP projected,v6_ml_detection\references\tif_frames\ess_dense_GFP_projected_frame_004.png,256,256,_ess dense_GFP_projected.tif,4
_ess_dense_frame_005,GFP projected,v6_ml_detection\references\tif_frames\ess_dense_GFP_projected_frame_005.png,256,256,_ess dense_GFP_projected.tif,5
_ess_dense_frame_006,GFP projected,v6_ml_detection\references\tif_frames\ess_dense_GFP_projected_frame_006.png,256,256,_ess dense_GFP_projected.tif,6
_ess_dense_frame_007,GFP projected,v6_ml_detection\references\tif_frames\ess_dense_GFP_projected_frame_007.png,256,256,_ess dense_GFP_projected.tif,7
_ess_dense_frame_008,GFP projected,v6_ml_detection\references\tif_frames\ess_dense_GFP_projected_frame_008.png,256,256,_ess dense_GFP_projected.tif,8
_ess_dense_frame_009,GFP projected,v6_ml_detection\references\tif_frames\ess_dense_GFP_projected_frame_009.png,256,256,_ess dense_GFP_projected.tif,9
_ess_dense_frame_010,GFP projected,v6_ml_detection\references\tif_frames\ess_dense_GFP_projected_frame_010.png,256,256,_ess dense_GFP_projected.tif,10
_ess_dense_frame_011,GFP projected,v6_ml_detection\references\tif_frames\ess_dense_GFP_projected_frame_011.png,256,256,_ess dense_GFP_projected.tif,11
_ess_dense_frame_012,GFP projected,v6_ml_detection\references\tif_frames\ess_dense_GFP_projected_frame_012.png,256,256,_ess dense_GFP_projected.tif,12
_ess_dense_frame_013,GFP projected,v6_ml_detection\references\tif_frames\ess_dense_GFP_projected_frame_013.png,256,256,_ess dense_GFP_projected.tif,13
_ess_dense_frame_014,GFP projected,v6_ml_detection\references\tif_frames\ess_dense_GFP_projected_frame_014.png,256,256,_ess dense_GFP_projected.tif,14
_ess_dense_frame_015,GFP projected,v6_ml_detection\references\tif_frames\ess_dense_GFP_projected_frame_015.png,256,256,_ess dense_GFP_projected.tif,15
_ess_dense_frame_016,GFP projected,v6_ml_detection\references\tif_frames\ess_dense_GFP_projected_frame_016.png,256,256,_ess dense_GFP_projected.tif,16
_ess_dense_frame_017,GFP projected,v6_ml_detection\references\tif_frames\ess_dense_GFP_projected_frame_017.png,256,256,_ess dense_GFP_projected.tif,17
_ess_dense_frame_018,GFP projected,v6_ml_detection\references\tif_frames\ess_dense_GFP_projected_frame_018.png,256,256,_ess dense_GFP_projected.tif,18
_ess_dense_frame_019,GFP projected,v6_ml_detection\references\tif_frames\ess_dense_GFP_projected_frame_019.png,256,256,_ess dense_GFP_projected.tif,19
_ess_dense_frame_020,GFP projected,v6_ml_detection\references\tif_frames\ess_dense_GFP_projected_frame_020.png,256,256,_ess dense_GFP_projected.tif,20
