image_id,condition,nucleus_count,budneck_count,mother_bud_pair,early_bud_pair,single_cell
45min_after_washout_frame_000,45min_after_washout,4,12,1,2,0
45min_after_washout_frame_001,45min_after_washout,8,8,2,4,0
45min_after_washout_frame_002,45min_after_washout,5,9,2,1,0
45min_after_washout_frame_003,45min_after_washout,10,10,3,3,1
45min_after_washout_frame_004,45min_after_washout,4,10,1,2,0
45min_after_washout_frame_005,45min_after_washout,8,9,3,2,0
45min_after_washout_frame_006,45min_after_washout,8,7,3,1,1
45min_after_washout_frame_007,45min_after_washout,8,9,3,2,0
45min_after_washout_frame_008,45min_after_washout,6,6,2,2,0
45min_after_washout_frame_009,45min_after_washout,7,8,3,1,0
45min_after_washout_frame_010,45min_after_washout,5,8,1,3,0
45min_after_washout_frame_011,45min_after_washout,6,7,3,0,0
45min_after_washout_frame_012,45min_after_washout,8,8,2,4,0
45min_after_washout_frame_013,45min_after_washout,7,15,2,3,0
45min_after_washout_frame_014,45min_after_washout,6,6,2,2,0
45min_after_washout_frame_015,45min_after_washout,9,8,3,2,1
45min_after_washout_frame_016,45min_after_washout,6,6,2,2,0
45min_after_washout_frame_017,45min_after_washout,9,9,3,3,0
45min_after_washout_frame_018,45min_after_washout,11,11,4,3,0
45min_after_washout_frame_019,45min_after_washout,9,6,4,1,0
60min_after_washout_frame_000,60min_after_washout,7,10,3,1,0
60min_after_washout_frame_001,60min_after_washout,13,13,6,1,0
60min_after_washout_frame_002,60min_after_washout,11,14,5,0,1
60min_after_washout_frame_003,60min_after_washout,11,10,4,3,0
60min_after_washout_frame_004,60min_after_washout,13,11,5,2,1
60min_after_washout_frame_005,60min_after_washout,8,10,3,2,0
60min_after_washout_frame_006,60min_after_washout,11,9,4,3,0
60min_after_washout_frame_007,60min_after_washout,16,11,8,0,0
60min_after_washout_frame_008,60min_after_washout,14,12,5,2,2
60min_after_washout_frame_009,60min_after_washout,10,8,4,1,1
60min_after_washout_frame_010,60min_after_washout,14,11,6,2,0
60min_after_washout_frame_011,60min_after_washout,12,13,5,2,0
60min_after_washout_frame_012,60min_after_washout,8,7,3,2,0
60min_after_washout_frame_013,60min_after_washout,10,7,4,1,1
60min_after_washout_frame_014,60min_after_washout,13,11,5,2,1
60min_after_washout_frame_015,60min_after_washout,12,10,5,2,0
85min_after_washout_frame_000,85min_after_washout,8,8,4,0,0
85min_after_washout_frame_001,85min_after_washout,7,5,3,1,0
85min_after_washout_frame_002,85min_after_washout,10,8,5,0,0
85min_after_washout_frame_003,85min_after_washout,14,10,6,1,1
85min_after_washout_frame_004,85min_after_washout,9,10,2,4,1
85min_after_washout_frame_005,85min_after_washout,14,9,6,1,1
85min_after_washout_frame_006,85min_after_washout,9,10,0,3,6
85min_after_washout_frame_007,85min_after_washout,9,7,3,1,2
85min_after_washout_frame_008,85min_after_washout,9,5,4,0,1
85min_after_washout_frame_009,85min_after_washout,11,7,4,1,2
85min_after_washout_frame_010,85min_after_washout,14,19,4,5,1
85min_after_washout_frame_011,85min_after_washout,12,8,4,2,2
85min_after_washout_frame_012,85min_after_washout,13,10,5,3,0
85min_after_washout_frame_013,85min_after_washout,9,6,4,1,0
85min_after_washout_frame_014,85min_after_washout,13,8,6,1,0
85min_after_washout_frame_015,85min_after_washout,10,5,4,1,1
85min_after_washout_frame_016,85min_after_washout,9,9,4,1,0
85min_after_washout_frame_017,85min_after_washout,12,8,6,0,0
85min_after_washout_frame_018,85min_after_washout,9,7,3,2,1
85min_after_washout_frame_019,85min_after_washout,10,12,4,2,0
85min_after_washout_frame_020,85min_after_washout,10,8,5,0,0
85min_after_washout_frame_021,85min_after_washout,10,9,4,1,1
85min_after_washout_frame_022,85min_after_washout,10,9,4,2,0
85min_after_washout_frame_023,85min_after_washout,9,10,4,1,0
Colorado+htb2-GFP_frame_000,Colorado+htb2-GFP,16,20,6,2,2
Colorado+htb2-GFP_frame_001,Colorado+htb2-GFP,15,12,5,4,1
Colorado+htb2-GFP_frame_002,Colorado+htb2-GFP,16,16,6,3,1
Colorado+htb2-GFP_frame_003,Colorado+htb2-GFP,14,13,5,3,1
Colorado+htb2-GFP_frame_004,Colorado+htb2-GFP,15,14,5,5,0
Colorado+htb2-GFP_frame_005,Colorado+htb2-GFP,12,13,5,2,0
Colorado+htb2-GFP_frame_006,Colorado+htb2-GFP,11,13,4,3,0
Colorado+htb2-GFP_frame_007,Colorado+htb2-GFP,16,23,6,3,1
Colorado+htb2-GFP_frame_008,Colorado+htb2-GFP,11,13,5,1,0
Colorado+htb2-GFP_frame_009,Colorado+htb2-GFP,17,22,5,7,0
Colorado+htb2-GFP_frame_010,Colorado+htb2-GFP,16,15,6,4,0
Colorado+htb2-GFP_frame_011,Colorado+htb2-GFP,12,12,5,2,0
Colorado+htb2-GFP_frame_012,Colorado+htb2-GFP,16,15,6,4,0
Colorado+htb2-GFP_frame_013,Colorado+htb2-GFP,10,10,3,4,0
Colorado+htb2-GFP_frame_014,Colorado+htb2-GFP,15,17,4,4,3
Colorado+htb2-GFP_frame_015,Colorado+htb2-GFP,11,8,5,0,1
Colorado+htb2-GFP_frame_016,Colorado+htb2-GFP,19,22,7,5,0
Colorado+htb2-GFP_frame_017,Colorado+htb2-GFP,12,14,4,2,2
Colorado+htb2-GFP_frame_018,Colorado+htb2-GFP,15,16,4,5,2
Colorado+htb2-GFP_frame_019,Colorado+htb2-GFP,15,13,5,4,1
_ess_dense_frame_000,_ess_dense,12,12,4,4,0
_ess_dense_frame_001,_ess_dense,7,10,2,3,0
_ess_dense_frame_002,_ess_dense,8,13,3,2,0
_ess_dense_frame_003,_ess_dense,12,9,6,0,0
_ess_dense_frame_004,_ess_dense,8,7,3,2,0
_ess_dense_frame_005,_ess_dense,9,6,3,1,2
_ess_dense_frame_006,_ess_dense,6,10,2,2,0
_ess_dense_frame_007,_ess_dense,11,9,4,3,0
_ess_dense_frame_008,_ess_dense,9,8,4,1,0
_ess_dense_frame_009,_ess_dense,11,9,5,0,1
_ess_dense_frame_010,_ess_dense,11,9,4,3,0
_ess_dense_frame_011,_ess_dense,10,10,4,2,0
_ess_dense_frame_012,_ess_dense,8,7,3,2,0
_ess_dense_frame_013,_ess_dense,12,9,4,3,1
_ess_dense_frame_014,_ess_dense,10,14,3,4,0
_ess_dense_frame_015,_ess_dense,12,10,5,2,0
_ess_dense_frame_016,_ess_dense,9,10,3,3,0
_ess_dense_frame_017,_ess_dense,8,8,2,4,0
_ess_dense_frame_018,_ess_dense,11,14,5,1,0
_ess_dense_frame_019,_ess_dense,8,13,2,4,0
_ess_dense_frame_020,_ess_dense,11,12,4,1,2
alphafactor_arrest_frame_000,alphafactor_arrest,6,24,0,5,1
alphafactor_arrest_frame_001,alphafactor_arrest,3,23,1,1,0
alphafactor_arrest_frame_002,alphafactor_arrest,6,28,1,3,1
alphafactor_arrest_frame_003,alphafactor_arrest,9,19,3,2,1
alphafactor_arrest_frame_004,alphafactor_arrest,9,16,2,2,3
alphafactor_arrest_frame_005,alphafactor_arrest,7,11,2,2,1
alphafactor_arrest_frame_006,alphafactor_arrest,6,21,2,2,0
alphafactor_arrest_frame_007,alphafactor_arrest,4,14,1,1,1
alphafactor_arrest_frame_008,alphafactor_arrest,2,9,0,2,0
alphafactor_arrest_frame_009,alphafactor_arrest,8,23,3,2,0
alphafactor_arrest_frame_010,alphafactor_arrest,9,23,3,1,2
alphafactor_arrest_frame_011,alphafactor_arrest,4,18,1,2,0
alphafactor_arrest_frame_012,alphafactor_arrest,8,18,3,2,0
alphafactor_arrest_frame_013,alphafactor_arrest,8,26,3,1,1
alphafactor_arrest_frame_014,alphafactor_arrest,6,12,2,2,0
alphafactor_arrest_frame_015,alphafactor_arrest,5,23,1,3,0
alphafactor_arrest_frame_016,alphafactor_arrest,7,16,1,4,1
alphafactor_arrest_frame_017,alphafactor_arrest,7,26,3,1,0
