image_id,condition,budneck_idx,nucleus_1_idx,nucleus_2_idx,nucleus_distance,bud_to_nucleus_1,bud_to_nucleus_2,bud_to_nearest_nucleus,bud_to_farthest_nucleus,projection_t,between_nuclei,perpendicular_distance,normalized_perpendicular_distance,midpoint_distance,midpoint_offset_parallel,line_deviation_deg,nucleus_1_x,nucleus_1_y,nucleus_2_x,nucleus_2_y,bud_x,bud_y
45min_after_washout_frame_000,45min_after_washout,3,0,1,28.338,19.041,24.664,19.041,24.664,0.347,True,16.306,0.575,16.872,4.336,100.294,145.98,74.098,133.258,99.419,126.996,75.564
45min_after_washout_frame_001,45min_after_washout,7,7,6,31.338,16.059,16.792,16.059,16.792,0.488,True,4.927,0.157,4.942,0.384,34.928,216.96,249.84,232.875,222.844,220.478,234.171
45min_after_washout_frame_001,45min_after_washout,0,1,0,23.07,15.607,21.303,15.607,21.303,0.302,True,13.96,0.605,14.685,4.556,104.384,240.469,40.031,217.562,37.287,235.2,25.34
45min_after_washout_frame_002,45min_after_washout,0,1,0,25.343,20.684,28.651,20.684,28.651,0.194,True,20.091,0.793,21.536,7.755,120.775,96.706,63.873,121.386,58.114,96.929,43.19
45min_after_washout_frame_002,45min_after_washout,4,2,3,22.951,16.432,24.305,16.432,24.305,0.196,True,15.807,0.689,17.283,6.987,114.717,143.343,83.686,125.744,98.419,150.048,98.689
45min_after_washout_frame_003,45min_after_washout,1,0,1,44.821,23.555,25.589,23.555,25.589,0.475,True,10.067,0.225,10.129,1.115,48.47,212.074,3.235,169.932,18.5,195.48,19.953
45min_after_washout_frame_003,45min_after_washout,5,6,7,22.386,14.668,36.715,14.668,36.715,-0.63,False,4.01,0.179,25.618,25.303,170.404,132.355,124.452,110.121,127.061,145.901,118.824
45min_after_washout_frame_003,45min_after_washout,7,8,9,19.268,15.084,31.548,15.084,31.548,-0.534,False,11.03,0.572,22.773,19.923,153.473,119.069,181.345,102.824,191.706,121.812,166.512
45min_after_washout_frame_004,45min_after_washout,7,3,1,36.387,13.527,27.504,13.527,27.504,0.283,True,8.753,0.241,11.778,7.881,58.88,171.778,124.556,136.311,116.422,159.769,130.782
45min_after_washout_frame_005,45min_after_washout,3,3,4,26.858,11.142,17.11,11.142,17.11,0.383,True,4.272,0.159,5.301,3.139,37.007,118.214,81.071,142.784,91.919,129.353,81.319
45min_after_washout_frame_005,45min_after_washout,7,5,6,32.166,18.801,22.66,18.801,22.66,0.423,True,12.985,0.404,13.221,2.487,78.646,140.261,127.225,108.742,133.645,129.53,142.663
45min_after_washout_frame_005,45min_after_washout,2,2,0,30.599,16.116,33.774,16.116,33.774,0.03,True,16.091,0.526,21.59,14.395,115.234,150.618,69.629,154.436,39.269,166.696,70.739
45min_after_washout_frame_006,45min_after_washout,4,6,7,42.487,17.884,27.324,17.884,27.324,0.382,True,7.531,0.177,9.052,5.022,40.904,228.6,145.6,186.432,150.795,211.58,140.109
45min_after_washout_frame_006,45min_after_washout,3,5,4,37.681,22.129,22.438,22.129,22.438,0.495,True,11.899,0.316,11.9,0.183,64.555,165.7,134.6,132.017,117.711,143.689,136.874
45min_after_washout_frame_006,45min_after_washout,1,0,2,33.916,15.074,31.927,15.074,31.927,0.156,True,14.119,0.416,18.323,11.678,95.742,87.424,61.353,96.347,94.074,75.191,70.162
45min_after_washout_frame_007,45min_after_washout,4,4,6,42.047,18.303,28.408,18.303,28.408,0.367,True,9.875,0.235,11.358,5.613,52.992,147.581,129.897,106.0,136.136,130.876,122.419
45min_after_washout_frame_007,45min_after_washout,2,0,5,43.415,18.38,27.223,18.38,27.223,0.393,True,6.831,0.157,8.26,4.644,36.352,50.387,90.29,56.437,133.282,59.529,106.235
45min_after_washout_frame_007,45min_after_washout,1,3,1,41.989,13.585,33.08,13.585,33.08,0.242,True,9.017,0.215,14.095,10.833,57.406,198.765,111.2,159.887,95.34,192.762,99.012
45min_after_washout_frame_008,45min_after_washout,3,5,3,33.006,17.147,18.635,17.147,18.635,0.476,True,6.902,0.209,6.949,0.806,45.476,201.87,178.522,176.892,156.946,194.503,163.037
45min_after_washout_frame_008,45min_after_washout,2,2,4,39.201,14.777,33.321,14.777,33.321,0.21,True,12.277,0.313,16.738,11.376,77.804,136.573,138.899,156.022,172.935,129.993,152.131
45min_after_washout_frame_009,45min_after_washout,1,2,0,24.045,13.913,25.015,13.913,25.015,0.126,True,13.578,0.565,16.283,8.987,110.272,159.565,68.391,141.683,52.317,166.385,56.264
45min_after_washout_frame_009,45min_after_washout,7,6,5,35.182,15.148,21.493,15.148,21.493,0.406,True,5.034,0.143,6.022,3.304,32.958,112.065,198.39,95.939,167.121,101.042,188.0
45min_after_washout_frame_009,45min_after_washout,6,4,3,39.181,18.972,20.532,18.972,20.532,0.48,True,2.518,0.064,2.638,0.786,14.669,172.023,114.744,132.917,112.333,153.1,116.1
45min_after_washout_frame_010,45min_after_washout,7,4,3,29.111,14.731,22.77,14.731,22.77,0.322,True,11.361,0.39,12.486,5.178,80.395,170.985,174.545,174.75,145.679,160.932,163.777
45min_after_washout_frame_011,45min_after_washout,3,3,2,23.271,18.337,20.582,18.337,20.582,0.419,True,15.524,0.667,15.638,1.877,106.812,147.784,120.307,128.091,107.909,147.797,101.97
45min_after_washout_frame_011,45min_after_washout,1,1,0,25.655,18.569,20.634,18.569,20.634,0.439,True,14.773,0.576,14.857,1.578,98.434,113.766,76.503,138.654,70.279,121.095,59.442
45min_after_washout_frame_011,45min_after_washout,5,5,4,28.342,16.221,36.235,16.221,36.235,-0.154,False,15.626,0.551,24.233,18.522,131.105,116.982,160.526,117.07,132.184,101.343,164.829
45min_after_washout_frame_012,45min_after_washout,1,0,2,26.351,16.687,19.513,16.687,19.513,0.426,True,12.339,0.468,12.491,1.941,86.906,103.604,56.594,79.2,66.533,88.545,49.404
45min_after_washout_frame_012,45min_after_washout,5,6,5,24.825,13.558,30.916,13.558,30.916,-0.126,False,13.19,0.531,20.39,15.549,128.631,103.25,133.781,83.226,119.108,97.984,146.274
45min_after_washout_frame_013,45min_after_washout,13,6,4,50.35,17.718,33.665,17.718,33.665,0.338,True,4.86,0.097,9.478,8.137,24.223,139.299,148.597,116.833,103.537,136.046,131.181
45min_after_washout_frame_013,45min_after_washout,4,3,1,33.072,13.979,21.295,13.979,21.295,0.382,True,5.982,0.181,7.142,3.901,41.652,158.191,90.529,127.368,78.544,148.583,80.375
45min_after_washout_frame_014,45min_after_washout,3,3,2,23.379,23.082,23.151,23.082,23.151,0.497,True,19.943,0.853,19.943,0.067,119.248,122.294,119.412,98.933,120.313,111.45,139.788
45min_after_washout_frame_014,45min_after_washout,0,0,1,46.365,17.633,32.254,17.633,32.254,0.33,True,8.735,0.188,11.755,7.866,45.41,127.24,55.519,171.21,70.23,138.994,68.663
45min_after_washout_frame_015,45min_after_washout,1,3,1,39.099,19.277,19.893,19.277,19.893,0.492,True,1.18,0.03,1.22,0.309,6.911,155.194,147.935,139.405,112.167,146.344,130.81
